timestamp_ms,git_sha,workload,docs,iters,cycles,instructions,cache_references,cache_misses,branch_instructions,branch_misses
1788697685743,5ea9928-dirty,warm_common,1000,29,3960806,10110110,218194,68593,2278268,9945
1788697686365,5ea9928-dirty,warm_rare,1000,66,5936486,7554373,192085,56923,1829729,8956
1788697686833,5ea9928-dirty,warm_multi,1000,47,7291219,10743479,227569,70360,2343281,10729
1788697687494,5ea9928-dirty,cold_common,1000,5,208734515,707642050,10276768,435640,101402800,386601
1788697687960,5ea9928-dirty,combine_scores,1000,339,3341626,13785220,130185,2357,1363233,19331
1788698135911,0d7945c,warm_common,1000,31,4077339,10108111,222464,70038,2277354,9992
1788698136397,0d7945c,warm_rare,1000,65,3112982,7552205,196231,58883,1829337,8927
1788698137019,0d7945c,warm_multi,1000,64,7265905,10741585,230584,71309,2342996,10585
1788698137686,0d7945c,cold_common,1000,5,209719317,707639262,10324384,463060,101403008,380867
1788698138152,0d7945c,combine_scores,1000,342,3307682,13784980,128462,3094,1363262,19433
1788698191769,0d7945c-dirty,warm_common,1000,20,3901851,10099736,222618,70565,2275604,10123
1788698192259,0d7945c-dirty,warm_rare,1000,66,2980295,7544568,196455,59378,1827651,9119
1788698192847,0d7945c-dirty,warm_multi,1000,62,6934109,10733520,231832,71891,2340728,10833
1788698193515,0d7945c-dirty,cold_common,1000,5,209419322,707666089,10362052,466102,101389175,380737
1788698193985,0d7945c-dirty,combine_scores,1000,345,3301995,13786360,122590,2052,1363207,19279
1788698765099,0d7945c-dirty,warm_common,1000,37,6222594,10276132,199318,45594,2310657,7746
1788698765609,0d7945c-dirty,warm_rare,1000,64,5381787,7882198,184432,44093,1901545,6839
1788698766144,0d7945c-dirty,warm_multi,1000,63,6064642,10874940,207049,46619,2369311,8904
1788698766781,0d7945c-dirty,cold_common,1000,5,200126561,707943791,10424448,368337,101493642,380654
1788698767253,0d7945c-dirty,combine_scores,1000,346,3298433,13785379,125153,1744,1363326,19467
1788699057481,0d7945c-dirty,warm_common,10000,6,25136435,33121294,509922,110421,6374640,10290
1788699057997,0d7945c-dirty,warm_rare,10000,12,13194638,9625394,259750,65255,2309256,3542
1788699058571,0d7945c-dirty,warm_multi,10000,12,22235351,39248107,583504,85898,7005652,15367
1788699064190,0d7945c-dirty,cold_common,10000,5,1643916559,6981347862,99175632,1544224,989769451,2610265
1788699064652,0d7945c-dirty,combine_scores,10000,346,3284136,13785592,124182,2510,1363249,19364
